CustomerID,CustomerName,Segment,State,City,SignupDate
CUST00001,Jayan Mandal,Home Office,Maharashtra,Bharatpur,2026-01-30
CUST00002,Badal Saxena,Consumer,Tamil Nadu,Moradabad,2024-09-05
CUST00003,Shanaya Trivedi,Consumer,Delhi,Vadodara,2024-01-01
CUST00004,Urvi Bassi,Consumer,Maharashtra,Vadodara,2025-08-16
CUST00005,Farhan Brar,Home Office,Telangana,Tenali,2021-11-07
CUST00006,Divyansh Halder,Consumer,Punjab,Rourkela,2025-08-05
CUST00007,Kiaan Thaker,Corporate,West Bengal,Salem,2022-01-06
CUST00008,Rania Madan,Consumer,Maharashtra,Singrauli,2021-10-28
CUST00009,Elakshi Singhal,Consumer,Delhi,Bhagalpur,2022-06-15
CUST00010,Seher Gade,Home Office,Punjab,Latur,2021-11-04
CUST00011,Krish Dara,Consumer,Telangana,Nellore,2023-01-22
CUST00012,Piya Kar,Consumer,Telangana,Bhiwani,2021-12-15
CUST00013,Vedika Bhasin,Corporate,Delhi,Hapur,2025-10-16
CUST00014,Aarna Bhatnagar,Corporate,Punjab,Amaravati,2021-12-22
CUST00015,Anaya Sharma,Corporate,West Bengal,Dibrugarh,2026-01-22
CUST00016,Kartik Hari,Consumer,Rajasthan,Dhanbad,2025-05-05
CUST00017,Ela Chandra,Corporate,Tamil Nadu,Ratlam,2025-02-08
CUST00018,Anahita Warrior,Consumer,Delhi,Mehsana,2025-06-30
CUST00019,Nehmat Deep,Corporate,Maharashtra,Pudukkottai,2023-08-05
CUST00020,Farhan Bhalla,Consumer,Rajasthan,Alappuzha,2024-05-20
CUST00021,Saira Sha,Consumer,Gujarat,Ranchi,2022-07-12
CUST00022,Samaira Bhakta,Corporate,Punjab,Motihari,2023-11-30
CUST00023,Amira Das,Corporate,West Bengal,Agartala,2023-01-11
CUST00024,Samaira Sur,Home Office,Uttar Pradesh,Vijayawada,2023-12-22
CUST00025,Dhanush Chaudhuri,Home Office,Maharashtra,Madhyamgram,2024-12-03
CUST00026,Ahana  Bobal,Corporate,Maharashtra,Kishanganj,2025-02-08
CUST00027,Mamooty Bora,Home Office,Tamil Nadu,Kulti,2024-09-05
CUST00028,Kavya Gupta,Home Office,Punjab,Ambattur,2025-11-21
CUST00029,Tarini Lall,Corporate,Punjab,Nangloi Jat,2024-12-22
CUST00030,Navya Ramakrishnan,Consumer,Maharashtra,Tenali,2025-08-26
CUST00031,Rhea Bedi,Consumer,Delhi,Katni,2023-07-26
CUST00032,Heer Varkey,Corporate,Maharashtra,Satara,2022-06-10
CUST00033,Nirvaan Sathe,Consumer,Maharashtra,Ichalkaranji,2023-06-02
CUST00034,Saksham Kala,Corporate,Tamil Nadu,Amritsar,2023-05-06
CUST00035,Saanvi Suresh,Corporate,Gujarat,Rajkot,2022-09-21
CUST00036,Kanav Dyal,Consumer,Gujarat,Davanagere,2022-10-17
CUST00037,Veer Borah,Corporate,Delhi,Shahjahanpur,2024-03-10
CUST00038,Shayak Brar,Home Office,Tamil Nadu,Korba,2021-10-02
CUST00039,Nehmat Randhawa,Home Office,Maharashtra,Ramagundam,2026-02-19
CUST00040,Jiya Ranganathan,Home Office,Karnataka,Firozabad,2025-12-30
CUST00041,Divyansh Sankar,Home Office,Delhi,Sri Ganganagar,2025-12-20
CUST00042,Nehmat Desai,Consumer,Uttar Pradesh,Bhusawal,2022-12-20
CUST00043,Aarav Soni,Corporate,Tamil Nadu,Suryapet,2022-08-20
CUST00044,Fateh Rajagopalan,Home Office,Telangana,Amritsar,2022-03-13
CUST00045,Samar Lal,Consumer,Gujarat,Surendranagar Dudhrej,2021-12-28
CUST00046,Aradhya Sathe,Consumer,Delhi,Madhyamgram,2024-07-06
CUST00047,Ela Loke,Consumer,Gujarat,Bhatpara,2022-11-22
CUST00048,Faiyaz Chopra,Corporate,Tamil Nadu,Dharmavaram,2023-01-07
CUST00049,Akarsh Sarna,Consumer,Delhi,Avadi,2025-03-19
CUST00050,Taran Ganguly,Home Office,Gujarat,Thane,2024-11-30
CUST00051,Tejas Bhalla,Consumer,Uttar Pradesh,Loni,2024-11-20
CUST00052,Eva Choudhry,Corporate,Uttar Pradesh,Panipat,2023-06-24
CUST00053,Drishya Khare,Consumer,Tamil Nadu,Satara,2021-07-24
CUST00054,Gokul Walia,Consumer,Delhi,Vijayawada,2023-01-27
CUST00055,Samarth Deshpande,Home Office,Telangana,Rajahmundry,2023-07-18
CUST00056,Yakshit Lad,Home Office,Tamil Nadu,Shimla,2024-01-01
CUST00057,Baiju Goel,Home Office,Punjab,Miryalaguda,2026-04-16
CUST00058,Arnav Behl,Corporate,Punjab,New Delhi,2025-06-08
CUST00059,Saira Date,Corporate,Gujarat,Ozhukarai,2025-09-01
CUST00060,Zeeshan Jayaraman,Consumer,Karnataka,Sambhal,2023-08-10
CUST00061,Neelofar Tank,Home Office,Uttar Pradesh,Mathura,2023-05-23
CUST00062,Sahil Wable,Consumer,West Bengal,Kamarhati,2023-08-08
CUST00063,Nitya Singhal,Consumer,Karnataka,Surendranagar Dudhrej,2024-03-07
CUST00064,Kanav Goda,Home Office,Karnataka,Nagaon,2025-12-12
CUST00065,Uthkarsh Karan,Home Office,Rajasthan,Malda,2024-09-02
CUST00066,Navya Choudhary,Home Office,Maharashtra,Pudukkottai,2023-05-20
CUST00067,Adira Rattan,Corporate,Rajasthan,Nagaon,2022-05-30
CUST00068,Jayant Jain,Home Office,Uttar Pradesh,Ballia,2023-03-07
CUST00069,Sumer Handa,Home Office,Tamil Nadu,Malegaon,2022-05-17
CUST00070,Hansh Dyal,Home Office,West Bengal,Salem,2022-10-04
CUST00071,Anahita Rana,Home Office,Maharashtra,Begusarai,2022-07-27
CUST00072,Gokul Sura,Home Office,Telangana,Mumbai,2023-08-22
CUST00073,Manjari Sahni,Corporate,Gujarat,South Dumdum,2021-09-01
CUST00074,Anahita Gandhi,Consumer,Tamil Nadu,Chittoor,2025-04-21
CUST00075,Shalv Badal,Corporate,Karnataka,Dehri,2024-05-08
CUST00076,Veer Edwin,Corporate,West Bengal,Durgapur,2022-11-05
CUST00077,Eva Soni,Home Office,Tamil Nadu,Khora ,2021-05-30
CUST00078,Lakshit Seshadri,Home Office,Karnataka,Bhind,2025-06-09
CUST00079,Tarini Bakshi,Home Office,Maharashtra,Hubli–Dharwad,2024-08-12
CUST00080,Neysa Mangat,Home Office,Tamil Nadu,Guntur,2026-02-17
CUST00081,Ivan Suri,Home Office,Telangana,Hapur,2025-01-08
CUST00082,Ehsaan Dar,Home Office,Delhi,Howrah,2022-08-29
CUST00083,Raghav Aggarwal,Consumer,Gujarat,Buxar,2026-03-26
CUST00084,Zain Jain,Consumer,Telangana,Danapur,2025-09-14
CUST00085,Riya Bhattacharyya,Home Office,West Bengal,Kharagpur,2021-06-30
CUST00086,Rania Bora,Home Office,Gujarat,Uluberia,2025-05-01
CUST00087,Lakshay Yohannan,Corporate,West Bengal,Bidar,2025-06-04
CUST00088,Anika Sankar,Consumer,Gujarat,Morbi,2024-04-22
CUST00089,Chirag Chandran,Corporate,Delhi,Ghaziabad,2024-04-12
CUST00090,Alisha Bava,Consumer,Delhi,Katni,2026-02-26
CUST00091,Shaan Savant,Home Office,Maharashtra,Khandwa,2026-02-18
CUST00092,Eva Ganesh,Consumer,Uttar Pradesh,Vellore,2025-01-23
CUST00093,Farhan Sastry,Consumer,Telangana,Gandhidham,2023-03-22
CUST00094,Keya Dash,Consumer,Karnataka,Proddatur,2025-04-11
CUST00095,Kiaan Gola,Home Office,Uttar Pradesh,Bhiwandi,2021-09-30
CUST00096,Adah Kala,Home Office,Karnataka,Bhalswa Jahangir Pur,2023-10-21
CUST00097,Inaaya  Sem,Corporate,Telangana,Sonipat,2022-01-01
CUST00098,Armaan Dhingra,Home Office,Rajasthan,Amaravati,2026-04-27
CUST00099,Aaina Ram,Consumer,Telangana,Bharatpur,2022-07-30
CUST00100,Vihaan De,Home Office,Delhi,Jammu,2022-06-28
CUST00101,Suhana Sidhu,Home Office,Tamil Nadu,Bidar,2023-10-12
CUST00102,Piya Sha,Corporate,Gujarat,Deoghar,2024-06-15
CUST00103,Jayesh Sagar,Corporate,Telangana,Malegaon,2024-11-16
CUST00104,Renee Lanka,Corporate,Maharashtra,Serampore,2024-03-19
CUST00105,Stuvan Karnik,Consumer,Delhi,Sikar,2023-05-03
CUST00106,Ishaan Saraf,Consumer,Gujarat,Nagercoil,2023-09-11
CUST00107,Kiara Bakshi,Consumer,Punjab,Dharmavaram,2022-12-21
CUST00108,Miraya Mane,Home Office,Delhi,Farrukhabad,2024-09-07
CUST00109,Indranil Aggarwal,Home Office,Delhi,Pondicherry,2025-10-25
CUST00110,Taran Uppal,Consumer,Maharashtra,Secunderabad,2022-04-12
CUST00111,Indrajit Bhatt,Home Office,West Bengal,Bhubaneswar,2022-07-11
CUST00112,Saanvi Thakkar,Consumer,Maharashtra,Vadodara,2022-07-27
CUST00113,Taran Lall,Consumer,Gujarat,Begusarai,2024-06-07
CUST00114,Samar Srivastava,Consumer,Telangana,Mumbai,2021-11-08
CUST00115,Tejas Ravel,Consumer,Tamil Nadu,Bally,2021-12-26
CUST00116,Dishani Sule,Home Office,Uttar Pradesh,Ramgarh,2023-07-14
CUST00117,Abram Tak,Consumer,Telangana,Tinsukia,2024-12-07
CUST00118,Armaan Shetty,Consumer,Punjab,Kulti,2023-01-20
CUST00119,Aaina Dalal,Home Office,Uttar Pradesh,Nashik,2023-09-29
CUST00120,Alia Sathe,Consumer,Uttar Pradesh,Gaya,2024-10-02
CUST00121,Inaaya  Chawla,Corporate,Delhi,Bhalswa Jahangir Pur,2024-10-26
CUST00122,Jivin Thakur,Consumer,Maharashtra,Kolkata,2023-07-17
CUST00123,Adira Kaur,Home Office,Rajasthan,Karaikudi,2022-08-28
CUST00124,Vanya Seshadri,Corporate,Rajasthan,Moradabad,2023-04-11
CUST00125,Anika Ganguly,Corporate,Uttar Pradesh,Kavali,2024-06-24
CUST00126,Keya Gokhale,Home Office,West Bengal,Tumkur,2023-05-24
CUST00127,Akarsh Saini,Home Office,Maharashtra,Jamshedpur,2021-09-22
CUST00128,Charvi Rajagopalan,Consumer,Rajasthan,Vellore,2022-08-08
CUST00129,Lakshit Kar,Home Office,Gujarat,Phusro,2023-09-25
CUST00130,Saira Talwar,Consumer,Delhi,Tenali,2023-05-24
CUST00131,Priyansh Khatri,Consumer,Delhi,Secunderabad,2024-03-23
CUST00132,Saanvi Golla,Home Office,Uttar Pradesh,Amritsar,2024-03-10
CUST00133,Kabir Deep,Consumer,Rajasthan,Gurgaon,2026-04-24
CUST00134,Fateh Shroff,Consumer,Tamil Nadu,North Dumdum,2023-11-20
CUST00135,Abram Bhandari,Corporate,Delhi,Pudukkottai,2026-02-19
CUST00136,Advika Doshi,Consumer,Uttar Pradesh,Agra,2024-10-02
CUST00137,Nitya Chokshi,Home Office,Maharashtra,Rajkot,2024-01-11
CUST00138,Prerak Bala,Consumer,Telangana,Durg,2025-12-28
CUST00139,Nitya Bir,Consumer,Maharashtra,Ghaziabad,2022-11-10
CUST00140,Jayesh Kala,Consumer,Karnataka,Kottayam,2025-08-22
CUST00141,Manikya Dara,Corporate,Uttar Pradesh,Vijayanagaram,2026-05-05
CUST00142,Alisha Badami,Corporate,Delhi,Jehanabad,2021-10-24
CUST00143,Tarini Tailor,Corporate,West Bengal,Mango,2021-06-27
CUST00144,Siya Basak,Consumer,Rajasthan,Adoni,2025-05-04
CUST00145,Rasha Bhasin,Consumer,Rajasthan,Moradabad,2021-12-02
CUST00146,Onkar Kohli,Corporate,Uttar Pradesh,Warangal,2024-09-20
CUST00147,Tiya Roy,Corporate,Rajasthan,Pune,2021-11-04
CUST00148,Zeeshan Iyer,Home Office,Telangana,Warangal,2024-04-14
CUST00149,Parinaaz Saraf,Home Office,Uttar Pradesh,Purnia,2023-01-22
CUST00150,Alisha Kota,Consumer,Delhi,Jhansi,2026-02-20
CUST00151,Indranil Karnik,Corporate,Delhi,Yamunanagar,2026-01-10
CUST00152,Nakul Bajaj,Consumer,Punjab,Secunderabad,2021-09-02
CUST00153,Zeeshan Divan,Home Office,Telangana,Chapra,2024-03-19
CUST00154,Nitara Devi,Consumer,Gujarat,Tiruvottiyur,2025-12-26
CUST00155,Kiaan Goel,Consumer,West Bengal,Rajkot,2021-09-12
CUST00156,Dhruv Sharaf,Home Office,Uttar Pradesh,Bilaspur,2022-05-06
CUST00157,Shlok Vala,Home Office,Telangana,Kanpur,2023-07-31
CUST00158,Riaan Shere,Consumer,West Bengal,Bhalswa Jahangir Pur,2025-03-18
CUST00159,Dhruv Gopal,Home Office,Maharashtra,Raichur,2021-06-11
CUST00160,Trisha Jhaveri,Consumer,Maharashtra,Raebareli,2024-08-26
CUST00161,Ranbir Bandi,Home Office,Maharashtra,Ghaziabad,2022-05-05
CUST00162,Kabir Vaidya,Home Office,Delhi,Raebareli,2023-08-24
CUST00163,Faiyaz Gara,Corporate,Maharashtra,Tinsukia,2022-01-13
CUST00164,Tushar Gole,Home Office,Delhi,Raichur,2022-05-11
CUST00165,Advika Sankar,Home Office,Punjab,Kozhikode,2024-08-29
